Address,City,original_price,lot_size_m2,living_space_m2,build_year,build_type,house_type,roof_type,rooms,toilet,floors,energy_label,position,garden,neighborhood_price_per_m2,price_cleaned,living_space_cleaned,lot_size_cleaned,bedrooms,total_rooms,house_type_cleaned,garden_type,price_per_sqm
Gentiaanstraat 84,Apeldoorn,€ 315.000,153 m²,135 m²,1971.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.075,315000.0,135.0,153.0,4.0,5,Eengezinswoning,Back Garden,2333.3333333333335
Bovenste Boord 17,Linne,€ 675.000,1.146 m²,233 m²,1976.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,9 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Aan rustige weg,Tuin rondom,3.610,675000.0,233.0,1.146,4.0,9,Eengezinswoning,Other Garden,2896.9957081545062
Tilburgweg 45,Arnhem,€ 275.000,153 m²,90 m²,1984.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,5.980,275000.0,90.0,153.0,4.0,5,Eengezinswoning,Back Garden,3055.5555555555557
St Gertrudislaan 11,Eindhoven,€ 595.000,238 m²,124 m²,1953.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,,Achtertuin en voortuin,1.820,595000.0,124.0,238.0,4.0,6,Eengezinswoning,Back Garden,4798.387096774193
Meerstraat 35,Hillegom,€ 389.000,109 m²,127 m²,1920.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In centrum,Achtertuin,1.865,389000.0,127.0,109.0,4.0,5,Eengezinswoning,Back Garden,3062.9921259842517
Onyx 7,'s-Gravenzande,€ 450.000,143 m²,132 m²,1978.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.830,450000.0,132.0,143.0,3.0,5,Eengezinswoning,Back Garden,3409.090909090909
Barend Kuisstraat 42,Nijkerk,€ 275.000,158 m²,98 m²,1988.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.385,275000.0,98.0,158.0,3.0,5,Eengezinswoning,Back Garden,2806.122448979592
Aart van der Leeuwstraat 8,Gorinchem,€ 540.000,240 m²,154 m²,1994.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,2.670,540000.0,154.0,240.0,4.0,5,Eengezinswoning,Back Garden,3506.4935064935066
Indusstraat 38,Spijkenisse,€ 525.000,192 m²,139 m²,1987.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, aan water en in woonwijk",Achtertuin en voortuin,1.055,525000.0,139.0,192.0,3.0,5,Eengezinswoning,Back Garden,3776.978417266187
Baardmosstraat 3,Purmerend,€ 389.000,126 m²,116 m²,1985.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin,5.715,389000.0,116.0,126.0,3.0,4,Eengezinswoning,Back Garden,3353.448275862069
Lankforst 4205,Nijmegen,€ 275.000,165 m²,132 m²,1968.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.040,275000.0,132.0,165.0,4.0,5,Eengezinswoning,Back Garden,2083.3333333333335
Jadeplantsoen 17,Almere,€ 325.000,144 m²,80 m²,1996.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,5.345,325000.0,80.0,144.0,3.0,4,Eengezinswoning,Back Garden,4062.5
Lindestraat 10,St. Willebrord,€ 825.000,1.427 m²,304 m²,2012.0,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,8 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, beschutte ligging en vrij uitzicht",Tuin rondom,8.960,825000.0,304.0,1.427,4.0,8,Villa,Other Garden,2713.815789473684
