Address,City,original_price,lot_size_m2,living_space_m2,build_year,build_type,house_type,roof_type,rooms,toilet,floors,energy_label,position,garden,neighborhood_price_per_m2,price_cleaned,living_space_cleaned,lot_size_cleaned,bedrooms,total_rooms,house_type_cleaned,garden_type,price_per_sqm
Havikskruid 49,Berghem,€ 500.000,286 m²,156 m²,2011.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Lessenaardak,6 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,5.430,500000.0,156.0,286.0,3.0,6,Eengezinswoning,Back Garden,3205.128205128205
Jan Muisstraat 25,Roggel,€ 285.000,213 m²,122 m²,1994.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,7 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,D,In woonwijk,Achtertuin en voortuin,3.450,285000.0,122.0,213.0,3.0,7,Eengezinswoning,Back Garden,2336.065573770492
Veenslagen 34,Amersfoort,€ 775.000,219 m²,158 m²,2008.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan rustige weg, beschutte ligging en in woonwijk","Achtertuin, voortuin en zijtuin",€ 3.905,775000.0,158.0,219.0,4.0,6,Eengezinswoning,Back Garden,4905.06329113924
Willem de Clercqstraat 85,Almelo,€ 345.000,277 m²,108 m²,1977.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,"Aan drukke weg, in bosrijke omgeving, in woonwijk en vrij uitzicht",Achtertuin en voortuin,340,345000.0,108.0,277.0,4.0,5,Eengezinswoning,Back Garden,3194.4444444444443
Laan van Gildestein 11,Nieuw-Vennep,€ 725.000,300 m²,207 m²,2000.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Lessenaardak,7 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,3 woonlagen en een zolder,A,In woonwijk,"Achtertuin, voortuin en zijtuin",9.015,725000.0,207.0,300.0,5.0,7,Eengezinswoning,Back Garden,3502.415458937198
Keteldiepstraat 9,Enschede,€ 239.000,150 m²,88 m²,1965.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,4.665,239000.0,88.0,150.0,4.0,5,Eengezinswoning,Back Garden,2715.909090909091
Urnenveld 4,Goirle,€ 1.550.000,1.600 m²,272 m²,1973.0,Bestaande bouw,"Bungalow, vrijstaande woning",Plat dak,7 kamers (6 slaapkamers),3 badkamers en 1 apart toilet,1 woonlaag,B,"Aan rustige weg, beschutte ligging, in bosrijke omgeving en in woonwijk",Patio/atrium en tuin rondom,175,1550000.0,272.0,1.6,6.0,7,Bungalow,Other Garden,5698.529411764706
Bluesroute 45,Middelburg,€ 485.000,273 m²,130 m²,2006.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,"Achtertuin, voortuin, zijtuin en zonneterras",1.645,485000.0,130.0,273.0,3.0,5,Eengezinswoning,Back Garden,3730.769230769231
Beverhoeve 22,Leusden,€ 435.000,157 m²,124 m²,1978.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Lessenaardak,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,B,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,630,435000.0,124.0,157.0,4.0,5,Eengezinswoning,Back Garden,3508.064516129032
Merelplantsoen 48,Roelofarendsveen,€ 432.500,145 m²,126 m²,1976.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan park, aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin,3.740,432500.0,126.0,145.0,3.0,4,Eengezinswoning,Back Garden,3432.5396825396824
Douglashout 64,Eindhoven,€ 585.000,135 m²,136 m²,2020.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,In woonwijk,Achtertuin en voortuin,3.875,585000.0,136.0,135.0,4.0,5,Eengezinswoning,Back Garden,4301.470588235294
Badhuisstraat 67 69,Vlissingen,€ 795.000,245 m²,418 m²,1895.0,Bestaande bouw,"Herenhuis, tussenwoning",Mansarde dak bedekt met pannen,10 kamers (5 slaapkamers),3 badkamers en 3 aparte toiletten,4 woonlagen,B,In centrum,Achtertuin,765,795000.0,418.0,245.0,5.0,10,Herenhuis,Back Garden,1901.9138755980862
Saksenpoort 6,Houten,€ 425.000,128 m²,108 m²,1986.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,In woonwijk en vrij uitzicht,Achtertuin en voortuin,1.265,425000.0,108.0,128.0,4.0,5,Eengezinswoning,Back Garden,3935.185185185185
Willem Alexanderstraat 25,Randwijk,€ 375.000,216 m²,110 m²,1999.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,870,375000.0,110.0,216.0,4.0,5,Eengezinswoning,Back Garden,3409.090909090909
Keulse Vaart 100,Diemen,€ 785.000,123 m²,132 m²,2018.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer,2 woonlagen en een zolder,A,In woonwijk,Achtertuin,995,785000.0,132.0,123.0,3.0,4,Eengezinswoning,Back Garden,5946.969696969697
Prins Clausstraat 1,Nunspeet,€ 339.000,137 m²,105 m²,1987.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk en vrij uitzicht,Achtertuin en voortuin,9.245,339000.0,105.0,137.0,4.0,5,Eengezinswoning,Back Garden,3228.5714285714284
Lange Dreef 94,Rijswijk (ZH),€ 500.000,174 m²,129 m²,1998.0,Bestaande bouw,"Eengezinswoning, tussenwoning (split-level woning)",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,B,"Beschutte ligging, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zonneterras",3.860,500000.0,129.0,174.0,4.0,5,Eengezinswoning,Back Garden,3875.968992248062
Jan Oldenburgerstraat E 114,Nieuwe Pekela,€ 215.000,461 m²,112 m²,1875.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Aan rustige weg en aan vaarwater,Achtertuin en zijtuin,3.855,215000.0,112.0,461.0,5.0,6,Eengezinswoning,Back Garden,1919.642857142857
Vondellaan 30,Oosterhout (NB),€ 287.000,148 m²,99 m²,1967.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,B,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.760,287000.0,99.0,148.0,4.0,5,Eengezinswoning,Back Garden,2898.989898989899
Zuiderlicht 47,Heerhugowaard,€ 500.000,236 m²,133 m²,2008.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,"Aan park, aan water, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.390,500000.0,133.0,236.0,5.0,6,Eengezinswoning,Back Garden,3759.3984962406016
Vastertlanden 60,Enschede,€ 298.000,167 m²,122 m²,1980.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,3.290,298000.0,122.0,167.0,4.0,5,Eengezinswoning,Back Garden,2442.622950819672
Burgemeester Albertiplein 19,Krommenie,€ 400.000,166 m²,116 m²,1970.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder met vliering,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.665,400000.0,116.0,166.0,4.0,6,Eengezinswoning,Back Garden,3448.2758620689656
Raadhuislaan 7,Maarn,€ 499.000,332 m²,70 m²,1957.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een vliering,E,,"Achtertuin, voortuin en zijtuin",€ 4.305,499000.0,70.0,332.0,3.0,4,Eengezinswoning,Back Garden,7128.571428571428
Beatrixstraat 41,Emmen,€ 475.000,231 m²,170 m²,1995.0,Bestaande bouw,"Eengezinswoning, geschakelde woning",Lessenaardak,6 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen,B,Aan rustige weg en in centrum,Achtertuin en voortuin,3.970,475000.0,170.0,231.0,5.0,6,Eengezinswoning,Back Garden,2794.1176470588234
Waterdrieblad 28,Oudkarspel (Gem. Dijk en Waard),€ 650.000,374 m²,126 m²,1997.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,"Aan rustige weg, beschutte ligging, in woonwijk en vrij uitzicht",Tuin rondom,,650000.0,126.0,374.0,3.0,4,Eengezinswoning,Other Garden,5158.730158730159
Bosstraat 1,Udenhout,€ 650.000,578 m²,156 m²,1971.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Dwarskap bedekt met bitumineuze dakbedekking en pannen,7 kamers (4 slaapkamers),1 badkamer,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",,650000.0,156.0,578.0,4.0,7,Eengezinswoning,Back Garden,4166.666666666667
Corlaerstraat 35,Nijkerk,€ 575.000,398 m²,160 m²,1993.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",2.575,575000.0,160.0,398.0,4.0,6,Eengezinswoning,Back Garden,3593.75
Triangelstraat 23,Eindhoven,€ 625.000,250 m²,151 m²,2019.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.450,625000.0,151.0,250.0,3.0,4,Eengezinswoning,Back Garden,4139.07284768212
Blauwe Beugelstraat 6,Rijsenhout,€ 550.000,360 m²,168 m²,,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,4 woonlagen,D,In woonwijk,"Achtertuin, voortuin en zijtuin",1.535,550000.0,168.0,360.0,5.0,7,Eengezinswoning,Back Garden,3273.809523809524
Gargonstraat 29,Serooskerke (Gem. Veere),€ 795.000,634 m²,252 m²,1996.0,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,A,In woonwijk,"Achtertuin, tuin rondom, voortuin en zijtuin",1.615,795000.0,252.0,634.0,5.0,6,Villa,Back Garden,3154.7619047619046
Rio Grandelaan 49,Overveen,€ 1.150.000,185 m²,185 m²,1938.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak,8 kamers (5 slaapkamers),1 badkamer en 2 aparte toiletten,4 woonlagen,F,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.100,1150000.0,185.0,185.0,5.0,8,Eengezinswoning,Back Garden,6216.216216216216
Kolk 3,Oud Ade,€ 469.000,166 m²,116 m²,2016.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,A,Aan rustige weg en landelijk gelegen,"Achtertuin, voortuin en zijtuin",575,469000.0,116.0,166.0,3.0,4,Eengezinswoning,Back Garden,4043.103448275862
Eerste Stationsstraat 67,Zoetermeer,€ 795.000,719 m²,141 m²,1954.0,Bestaande bouw,"Herenhuis, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,Beschutte ligging en in woonwijk,"Achtertuin, voortuin en zijtuin",4.970,795000.0,141.0,719.0,2.0,3,Herenhuis,Back Garden,5638.297872340426
Akkerwinde 4,Alblasserdam,€ 319.000,103 m²,83 m²,1980.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,C,In woonwijk,Achtertuin en voortuin,785,319000.0,83.0,103.0,3.0,4,Eengezinswoning,Back Garden,3843.373493975904
Pellekaanstraat 4,Koog aan de Zaan,€ 419.500,132 m²,120 m²,1953.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,"Aan rustige weg, in woonwijk en vrij uitzicht",Achtertuin en voortuin,4.845,419500.0,120.0,132.0,4.0,5,Eengezinswoning,Back Garden,3495.8333333333335
Prins Hendriklaan 19,Rijswijk (ZH),€ 849.000,210 m²,219 m²,1908.0,Bestaande bouw,"Herenhuis, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,8 kamers (6 slaapkamers),2 badkamers en 2 aparte toiletten,3 woonlagen en een kelder,D,Aan rustige weg en in woonwijk,Achtertuin en voortuin,2.480,849000.0,219.0,210.0,6.0,8,Herenhuis,Back Garden,3876.7123287671234
Reaal 29,Hoorn (NH),€ 420.000,219 m²,137 m²,1992.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.555,420000.0,137.0,219.0,4.0,6,Eengezinswoning,Back Garden,3065.693430656934
Drostenkamp 11,Raalte,€ 450.000,358 m²,170 m²,1980.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,B,"Aan rustige weg, in centrum en in woonwijk",Achtertuin en voortuin,335,450000.0,170.0,358.0,4.0,5,Eengezinswoning,Back Garden,2647.0588235294117
Statenlaan 140,Middelburg,€ 265.000,135 m²,113 m²,1967.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,"Achtertuin, voortuin en zijtuin",1.170,265000.0,113.0,135.0,4.0,5,Eengezinswoning,Back Garden,2345.1327433628317
Barbesteinweg 19,Heinkenszand,€ 1.099.000,15.480 m²,238 m²,1776.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,2 woonlagen en een zolder,C,"Landelijk gelegen, open ligging en vrij uitzicht",Tuin rondom,,1099000.0,238.0,15.48,4.0,6,Eengezinswoning,Other Garden,4617.64705882353
De Nova Cura 152,Drachten,€ 285.000,268 m²,108 m²,1981.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.200,285000.0,108.0,268.0,3.0,4,Eengezinswoning,Back Garden,2638.8888888888887
Easter Omwei 44,Hurdegaryp,€ 359.000,503 m²,126 m²,,Bestaande bouw,"Eengezinswoning, geschakelde woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,Beschutte ligging en in woonwijk,"Achtertuin, voortuin en zijtuin",4.735,359000.0,126.0,503.0,3.0,4,Eengezinswoning,Back Garden,2849.2063492063494
Kennemerstraatweg 119,Alkmaar,€ 650.000,250 m²,149 m²,1935.0,Bestaande bouw,"Herenhuis, tussenwoning",Zadeldak bedekt met pannen,7 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,Niet verplicht,"Aan drukke weg, aan park en in woonwijk",Achtertuin en voortuin,1.515,650000.0,149.0,250.0,5.0,7,Herenhuis,Back Garden,4362.416107382551
Wierdensestraat 132,Rijssen,€ 925.000,2.100 m²,221 m²,1993.0,Bestaande bouw,"Villa, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,B,"Aan water, beschutte ligging, in woonwijk en vrij uitzicht",Tuin rondom,2.895,925000.0,221.0,2.1,3.0,5,Villa,Other Garden,4185.52036199095
Pagnevaartweg 4,Oudenbosch,€ 585.000,1.008 m²,144 m²,1956.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Samengesteld dak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen en een zolder,G,In woonwijk,Tuin rondom,2.025,585000.0,144.0,1.008,4.0,5,Eengezinswoning,Other Garden,4062.5
Sleutelbloem 36,Breda,€ 360.000,139 m²,117 m²,1990.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, beschutte ligging en in woonwijk",Achtertuin en voortuin,4.485,360000.0,117.0,139.0,4.0,6,Eengezinswoning,Back Garden,3076.923076923077
Burgemeester Joostenlaan 5,Roermond,€ 389.000,310 m²,109 m²,1962.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,"2 woonlagen, een zolder en een kelder",F,Aan rustige weg en in woonwijk,Achtertuin en voortuin,3.475,389000.0,109.0,310.0,3.0,5,Eengezinswoning,Back Garden,3568.8073394495414
Smeetsstraat 45,Stein,€ 339.000,578 m²,142 m²,1930.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen en een kelder,A+,Aan rustige weg en in woonwijk,Achtertuin,2.680,339000.0,142.0,578.0,4.0,5,Eengezinswoning,Back Garden,2387.323943661972
Binnenweg 5,Elspeet,€ 429.000,235 m²,112 m²,1987.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, beschutte ligging, in centrum en in woonwijk",Achtertuin en voortuin,2.995,429000.0,112.0,235.0,4.0,5,Eengezinswoning,Back Garden,3830.3571428571427
Marijkeplein 7,Etten-Leur,€ 385.000,208 m²,125 m²,1958.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Aan rustige weg en in woonwijk,Achtertuin en voortuin,1.330,385000.0,125.0,208.0,4.0,5,Eengezinswoning,Back Garden,3080.0
Kolklaan 35,Maarsbergen,€ 549.000,211 m²,129 m²,1964.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (5 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,,Achtertuin,€ 4.040,549000.0,129.0,211.0,5.0,6,Eengezinswoning,Back Garden,4255.813953488372
Weststraat 27,Aardenburg,€ 274.500,169 m²,173 m²,1950.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Schilddak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,E,In centrum,Achtertuin,2.010,274500.0,173.0,169.0,4.0,5,Eengezinswoning,Back Garden,1586.7052023121387
De Streep 5,Assendelft,€ 385.000,125 m²,103 m²,1984.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Samengesteld dak bedekt met bitumineuze dakbedekking en pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,B,"Aan rustige weg, aan vaarwater, aan water en in woonwijk",Achtertuin en voortuin,6.190,385000.0,103.0,125.0,4.0,5,Eengezinswoning,Back Garden,3737.864077669903
Zadelmakerstraat 3,Sevenum,€ 275.000,280 m²,127 m²,1972.0,Bestaande bouw,"Eengezinswoning, geschakelde 2-onder-1-kapwoning",Zadeldak bedekt met pannen,6 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,D,,Achtertuin en voortuin,5.050,275000.0,127.0,280.0,4.0,6,Eengezinswoning,Back Garden,2165.3543307086616
Brunstingerstraat 20,Beilen,€ 250.000,173 m²,89 m²,1935.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Mansarde dak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,"Aan rustige weg, beschutte ligging en vrij uitzicht","Voortuin, zijtuin en zonneterras",9.415,250000.0,89.0,173.0,3.0,4,Eengezinswoning,Front Garden,2808.9887640449438
Koningin Wilhelminastraat 20,Huizen,€ 775.000,288 m²,131 m²,1906.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,"2 woonlagen, een zolder en een kelder",E,Aan rustige weg en in centrum,"Achtertuin, zijtuin en zonneterras",2.750,775000.0,131.0,288.0,4.0,5,Eengezinswoning,Back Garden,5916.030534351145
Maandenweg 19,Almere,€ 775.000,737 m²,184 m²,1999.0,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met pannen,3 kamers (2 slaapkamers),1 badkamer en 1 apart toilet,2 woonlagen,A,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",5.070,775000.0,184.0,737.0,2.0,3,Villa,Back Garden,4211.95652173913
Kromwijkerkade 27,Woerden,€ 525.000,153 m²,116 m²,1939.0,Bestaande bouw,"Eengezinswoning, hoekwoning",Zadeldak bedekt met pannen,5 kamers (3 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,E,"Aan water, in woonwijk en vrij uitzicht","Achtertuin, voortuin en zijtuin",4.400,525000.0,116.0,153.0,3.0,5,Eengezinswoning,Back Garden,4525.862068965517
Lievelandsbuurt 2,De Rijp,€ 585.000,231 m²,85 m²,1973.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Zadeldak bedekt met pannen,4 kamers (3 slaapkamers),1 badkamer en 2 aparte toiletten,2 woonlagen en een zolder,Niet verplicht,"Aan vaarwater, aan water, in centrum en landelijk gelegen",Achtertuin en zijtuin,4.060,585000.0,85.0,231.0,3.0,4,Eengezinswoning,Back Garden,6882.35294117647
Terborgseweg 6,Dinxperlo,€ 350.000,635 m²,179 m²,1934.0,Bestaande bouw,"Eengezinswoning, vrijstaande woning",Mansarde dak bedekt met pannen,7 kamers (4 slaapkamers),2 badkamers en 1 apart toilet,"2 woonlagen, een zolder en een kelder",G,In centrum,Tuin rondom,1.805,350000.0,179.0,635.0,4.0,7,Eengezinswoning,Other Garden,1955.3072625698323
Jacob Catsstraat 19,Castricum,€ 575.000,189 m²,109 m²,1938.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,"Aan rustige weg, in centrum en in woonwijk","Achtertuin, voortuin en zijtuin",2.390,575000.0,109.0,189.0,4.0,5,Eengezinswoning,Back Garden,5275.229357798165
Dobbenwal 79,Assen,€ 339.000,295 m²,128 m²,1980.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,Beschutte ligging en in woonwijk,Achtertuin en voortuin,970,339000.0,128.0,295.0,4.0,5,Eengezinswoning,Back Garden,2648.4375
Spoelsterstraat 10,Haaksbergen,€ 285.000,212 m²,113 m²,1968.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Dwarskap bedekt met pannen,8 kamers (5 slaapkamers),1 badkamer,3 woonlagen,C,"Aan rustige weg, in woonwijk, open ligging en vrij uitzicht",Achtertuin en voortuin,1.015,285000.0,113.0,212.0,5.0,8,Eengezinswoning,Back Garden,2522.1238938053098
Gezina van der Molenlanden 10,Enschede,€ 675.000,689 m²,219 m²,1989.0,Bestaande bouw,"Villa, vrijstaande woning",Zadeldak bedekt met bitumineuze dakbedekking en pannen,7 kamers (5 slaapkamers),2 badkamers en 2 aparte toiletten,2 woonlagen en een zolder,C,"Aan bosrand, aan rustige weg en in woonwijk","Achtertuin, voortuin en zijtuin",3.290,675000.0,219.0,689.0,5.0,7,Villa,Back Garden,3082.1917808219177
Valkenierslaan 227,Breda,€ 465.000,130 m²,109 m²,1920.0,Bestaande bouw,"Eengezinswoning, tussenwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,C,In woonwijk,Achtertuin en voortuin,3.850,465000.0,109.0,130.0,4.0,5,Eengezinswoning,Back Garden,4266.05504587156
Patrijzenlaan 35,Doorwerth,€ 379.000,140 m²,158 m²,,Bestaande bouw,"Eengezinswoning, tussenwoning",Plat dak bedekt met bitumineuze dakbedekking,5 kamers (4 slaapkamers),1 badkamer en 2 aparte toiletten,3 woonlagen,C,"In centrum, in woonwijk en open ligging","Achtertuin, voortuin en zonneterras",1.970,379000.0,158.0,140.0,4.0,5,Eengezinswoning,Back Garden,2398.73417721519
Dr Cuijpersstraat 4,Oudenbosch,€ 350.000,321 m²,116 m²,1972.0,Bestaande bouw,"Eengezinswoning, 2-onder-1-kapwoning",Zadeldak bedekt met pannen,5 kamers (4 slaapkamers),1 badkamer en 1 apart toilet,3 woonlagen,D,Aan rustige weg en in woonwijk,"Achtertuin, voortuin en zijtuin",1.755,350000.0,116.0,321.0,4.0,5,Eengezinswoning,Back Garden,3017.2413793103447
